text_clean,tokens
keempat kalinya menginap hotel sejak tahun ada perubahan signifikan ukuran kamar kebersihan ruangan cukup baik pilihan menu sarapan termasuk monoton tidak terlalu banyak variasi malam terakhir cukup puas menginap hotel namun saat membayar laundry cukup kecewa x laundry menginap hari bill dicash kelebihan ribu yang bayar pihak laundry front office memaksa untuk mengakui kelebihan tersebut alasan salah mencatat jumlah pakaian yg laundry jadi saran saya jika menginap hotel dan menggunakan jasa laundry pastikan terlebih atau hitung kira berapa harus membayar bill laundry tidak kecewa,"['keempat', 'kalinya', 'menginap', 'hotel', 'sejak', 'tahun', 'ada', 'perubahan', 'signifikan', 'ukuran', 'kamar', 'kebersihan', 'ruangan', 'cukup', 'baik', 'pilihan', 'menu', 'sarapan', 'termasuk', 'monoton', 'tidak', 'terlalu', 'banyak', 'variasi', 'malam', 'terakhir', 'cukup', 'puas', 'menginap', 'hotel', 'namun', 'saat', 'membayar', 'laundry', 'cukup', 'kecewa', 'x', 'laundry', 'menginap', 'hari', 'bill', 'dicash', 'kelebihan', 'ribu', 'yang', 'bayar', 'pihak', 'laundry', 'front', 'office', 'memaksa', 'untuk', 'mengakui', 'kelebihan', 'tersebut', 'alasan', 'salah', 'mencatat', 'jumlah', 'pakaian', 'yg', 'laundry', 'jadi', 'saran', 'saya', 'jika', 'menginap', 'hotel', 'dan', 'menggunakan', 'jasa', 'laundry', 'pastikan', 'terlebih', 'atau', 'hitung', 'kira', 'berapa', 'harus', 'membayar', 'bill', 'laundry', 'tidak', 'kecewa']"
kamarnya nyaman luas sarapannya banyak pilihan paling enak tinutuannya live music resto malam dekat pusat perbelanjaan beberapa kuliner disamping kanan hotel coto daeng yabgvenak sana cukup berjalan meter dr hotel,"['kamarnya', 'nyaman', 'luas', 'sarapannya', 'banyak', 'pilihan', 'paling', 'enak', 'tinutuannya', 'live', 'music', 'resto', 'malam', 'dekat', 'pusat', 'perbelanjaan', 'beberapa', 'kuliner', 'disamping', 'kanan', 'hotel', 'coto', 'daeng', 'yabgvenak', 'sana', 'cukup', 'berjalan', 'meter', 'dr', 'hotel']"
hotel memberikan sentuhan lokal standar sangat baik makanannya enak terutama selera asia adalah pilihan baik pertemuan bisnis memiliki kolam renang jadi tidak dianjurkan keluarga mereka ingin berenang akses transportasi umum cukup mudah dekat pusat kota,"['hotel', 'memberikan', 'sentuhan', 'lokal', 'standar', 'sangat', 'baik', 'makanannya', 'enak', 'terutama', 'selera', 'asia', 'adalah', 'pilihan', 'baik', 'pertemuan', 'bisnis', 'memiliki', 'kolam', 'renang', 'jadi', 'tidak', 'dianjurkan', 'keluarga', 'mereka', 'ingin', 'berenang', 'akses', 'transportasi', 'umum', 'cukup', 'mudah', 'dekat', 'pusat', 'kota']"
beberapa kali nginep sini urusan kerjaan jadi mau gak mau nginep sini tempatnya strategis krn pusat kota dekat dg tempat makan mall mantos staffnya ramah menyenangkan sayangnya gak kolam renang fitness center,"['beberapa', 'kali', 'nginep', 'sini', 'urusan', 'kerjaan', 'jadi', 'mau', 'gak', 'mau', 'nginep', 'sini', 'tempatnya', 'strategis', 'krn', 'pusat', 'kota', 'dekat', 'dg', 'tempat', 'makan', 'mall', 'mantos', 'staffnya', 'ramah', 'menyenangkan', 'sayangnya', 'gak', 'kolam', 'renang', 'fitness', 'center']"
cukup nyaman utk hotel lama spacy room fasilitas kurang lengkap wifi terbatas lobby breakfast walau variasi makanan kurang banyak hospitality baik kebersihan oksecara keseluruhan baik,"['cukup', 'nyaman', 'utk', 'hotel', 'lama', 'spacy', 'room', 'fasilitas', 'kurang', 'lengkap', 'wifi', 'terbatas', 'lobby', 'breakfast', 'walau', 'variasi', 'makanan', 'kurang', 'banyak', 'hospitality', 'baik', 'kebersihan', 'oksecara', 'keseluruhan', 'baik']"
hotel berada pusat kota dekat mall pusat oleholeh akses bandara sam ratulangi kirakira membutuhkan waktu jam kamar berlantai kayu bersih pelayanan baik cukup memuaskan,"['hotel', 'berada', 'pusat', 'kota', 'dekat', 'mall', 'pusat', 'oleholeh', 'akses', 'bandara', 'sam', 'ratulangi', 'kirakira', 'membutuhkan', 'waktu', 'jam', 'kamar', 'berlantai', 'kayu', 'bersih', 'pelayanan', 'baik', 'cukup', 'memuaskan']"
mendapat kamar lebih kecil kunjungan terakhir sabun cair menambahkan hari sarapan enak banyak pilihan bagus lobi besar kami bertemu rekan kerja nyaman piano penyanyi staf sangat ramah ingat nama bila memberikan harga promosi pikir hotel layak tinggal,"['mendapat', 'kamar', 'lebih', 'kecil', 'kunjungan', 'terakhir', 'sabun', 'cair', 'menambahkan', 'hari', 'sarapan', 'enak', 'banyak', 'pilihan', 'bagus', 'lobi', 'besar', 'kami', 'bertemu', 'rekan', 'kerja', 'nyaman', 'piano', 'penyanyi', 'staf', 'sangat', 'ramah', 'ingat', 'nama', 'bila', 'memberikan', 'harga', 'promosi', 'pikir', 'hotel', 'layak', 'tinggal']"
manado quality hotel memiliki lokasi bagus akses mudah ketika tinggal sini akses internet sangat buruk mengeluh staf hanya mengatakan ada masalah internet minggu berikutnya datang tinggal internet memiliki masalah sarapan baik keseluruhan kamar ratarata staf ratarata,"['manado', 'quality', 'hotel', 'memiliki', 'lokasi', 'bagus', 'akses', 'mudah', 'ketika', 'tinggal', 'sini', 'akses', 'internet', 'sangat', 'buruk', 'mengeluh', 'staf', 'hanya', 'mengatakan', 'ada', 'masalah', 'internet', 'minggu', 'berikutnya', 'datang', 'tinggal', 'internet', 'memiliki', 'masalah', 'sarapan', 'baik', 'keseluruhan', 'kamar', 'ratarata', 'staf', 'ratarata']"
dan istri tinggal hotel selama malam malam pertama punya kamar superior twin kecewa staf hotel sangat baik hari berikutnya memberi kamar terbaik menikmati tinggal hotel hanya perlu meningkatkan tempat parkir tamu hotel,"['dan', 'istri', 'tinggal', 'hotel', 'selama', 'malam', 'malam', 'pertama', 'punya', 'kamar', 'superior', 'twin', 'kecewa', 'staf', 'hotel', 'sangat', 'baik', 'hari', 'berikutnya', 'memberi', 'kamar', 'terbaik', 'menikmati', 'tinggal', 'hotel', 'hanya', 'perlu', 'meningkatkan', 'tempat', 'parkir', 'tamu', 'hotel']"
hotel lama berlokasi pusat kota kamarnya nyaman rapih sarapannya beragam nikmat jajan pasar bubur manado di lidah tidak biasa ada wifi sinyalnya kurang bagus,"['hotel', 'lama', 'berlokasi', 'pusat', 'kota', 'kamarnya', 'nyaman', 'rapih', 'sarapannya', 'beragam', 'nikmat', 'jajan', 'pasar', 'bubur', 'manado', 'di', 'lidah', 'tidak', 'biasa', 'ada', 'wifi', 'sinyalnya', 'kurang', 'bagus']"
